Q-function training is starting
[Epoch 780/1000000] Q loss: 0.001971545926799885, score: 0, distance survived: 35
[Epoch 790/1000000] Q loss: 0.0021421255777199916, score: 0, distance survived: 67
[Epoch 800/1000000] Q loss: 0.004062871178693931, score: 0, distance survived: 64
[Epoch 810/1000000] Q loss: 0.0025658270851100957, score: 0, distance survived: 68
[Epoch 820/1000000] Q loss: 0.0014912512291860875, score: 0, distance survived: 65
[Epoch 830/1000000] Q loss: 0.0022411320632125475, score: 0, distance survived: 64
[Epoch 840/1000000] Q loss: 0.0019231535495311143, score: 0, distance survived: 65
[Epoch 850/1000000] Q loss: 0.003168835855949303, score: 0, distance survived: 60
[Epoch 860/1000000] Q loss: 0.0020886197439939024, score: 0, distance survived: 64
[Epoch 870/1000000] Q loss: 0.002498939576891007, score: 0, distance survived: 199
[Epoch 880/1000000] Q loss: 0.0036575766528375428, score: 0, distance survived: 201
[Epoch 890/1000000] Q loss: 0.0021649075673008935, score: 0, distance survived: 35
[Epoch 900/1000000] Q loss: 0.0025187644953136275, score: 0, distance survived: 67
[Epoch 910/1000000] Q loss: 0.0018474505017559348, score: 0, distance survived: 63
[Epoch 920/1000000] Q loss: 0.004150205843821665, score: 0, distance survived: 65
[Epoch 930/1000000] Q loss: 0.004744640209686459, score: 0, distance survived: 63
[Epoch 940/1000000] Q loss: 0.002039841137064722, score: 0, distance survived: 65
[Epoch 950/1000000] Q loss: 0.0031546705783316374, score: 0, distance survived: 35
[Epoch 960/1000000] Q loss: 0.002490233388489446, score: 0, distance survived: 35
[Epoch 970/1000000] Q loss: 0.0026312423587070773, score: 0, distance survived: 63
[Epoch 980/1000000] Q loss: 0.0023309023176092806, score: 0, distance survived: 67
[Epoch 990/1000000] Q loss: 0.003003745418441777, score: 0, distance survived: 35
[Epoch 1000/1000000] Q loss: 0.00345234872856732, score: 0, distance survived: 35
[Epoch 1010/1000000] Q loss: 0.0021331602204898137, score: 0, distance survived: 185
[Epoch 1020/1000000] Q loss: 0.0020875582023976713, score: 0, distance survived: 35
[Epoch 1030/1000000] Q loss: 0.0023559224521530558, score: 0, distance survived: 65
[Epoch 1040/1000000] Q loss: 0.002168097035538539, score: 0, distance survived: 40
[Epoch 1050/1000000] Q loss: 0.0034642119337071225, score: 0, distance survived: 35
[Epoch 1060/1000000] Q loss: 0.0031257114821437336, score: 0, distance survived: 35
[Epoch 1070/1000000] Q loss: 0.0029398787076079297, score: 0, distance survived: 35
[Epoch 1080/1000000] Q loss: 0.002040380562256274, score: 0, distance survived: 68
[Epoch 1090/1000000] Q loss: 0.0025113382407005876, score: 0, distance survived: 35
[Epoch 1100/1000000] Q loss: 0.0027117933030182248, score: 0, distance survived: 37
[Epoch 1110/1000000] Q loss: 0.003119149043219153, score: 0, distance survived: 35
[Epoch 1120/1000000] Q loss: 0.0028876265513746876, score: 0, distance survived: 38
[Epoch 1130/1000000] Q loss: 0.004125668095992544, score: 0, distance survived: 35
[Epoch 1140/1000000] Q loss: 0.002482971522819288, score: 0, distance survived: 64
[Epoch 1150/1000000] Q loss: 0.00238771873077301, score: 0, distance survived: 35
[Epoch 1160/1000000] Q loss: 0.0018770735722266432, score: 0, distance survived: 69
[Epoch 1170/1000000] Q loss: 0.005316539803755422, score: 0, distance survived: 35
[Epoch 1180/1000000] Q loss: 0.0029187211455050733, score: 0, distance survived: 35
[Epoch 1190/1000000] Q loss: 0.0032690526576634477, score: 0, distance survived: 35
[Epoch 1200/1000000] Q loss: 0.0035099225011635884, score: 0, distance survived: 61
[Epoch 1210/1000000] Q loss: 0.004086554063037254, score: 0, distance survived: 35
[Epoch 1220/1000000] Q loss: 0.002595601832292351, score: 0, distance survived: 35
[Epoch 1230/1000000] Q loss: 0.002984167517931561, score: 0, distance survived: 35
[Epoch 1240/1000000] Q loss: 0.0032474854623379687, score: 0, distance survived: 37
[Epoch 1250/1000000] Q loss: 0.0037130964124669754, score: 0, distance survived: 64
[Epoch 1260/1000000] Q loss: 0.003157796269863655, score: 0, distance survived: 35
[Epoch 1270/1000000] Q loss: 0.0022094626988659297, score: 0, distance survived: 182
[Epoch 1280/1000000] Q loss: 0.0021993274750518456, score: 0, distance survived: 43
[Epoch 1290/1000000] Q loss: 0.0031357534669667645, score: 0, distance survived: 35
[Epoch 1300/1000000] Q loss: 0.0030797502358643264, score: 0, distance survived: 68
[Epoch 1310/1000000] Q loss: 0.0026629745707910627, score: 0, distance survived: 35
[Epoch 1320/1000000] Q loss: 0.0024945236913074794, score: 0, distance survived: 65
[Epoch 1330/1000000] Q loss: 0.004184262586541878, score: 0, distance survived: 63
[Epoch 1340/1000000] Q loss: 0.002227546654435025, score: 0, distance survived: 35
[Epoch 1350/1000000] Q loss: 0.002650275051446829, score: 0, distance survived: 37
[Epoch 1360/1000000] Q loss: 0.00376858894654655, score: 0, distance survived: 35
[Epoch 1370/1000000] Q loss: 0.0027463833286620956, score: 0, distance survived: 35
[Epoch 1380/1000000] Q loss: 0.003317484545171076, score: 0, distance survived: 63
[Epoch 1390/1000000] Q loss: 0.0033788248564776196, score: 0, distance survived: 35
[Epoch 1400/1000000] Q loss: 0.0030186165282874372, score: 0, distance survived: 37
[Epoch 1410/1000000] Q loss: 0.003154391281837775, score: 0, distance survived: 35
[Epoch 1420/1000000] Q loss: 0.0029458037474914757, score: 0, distance survived: 39
[Epoch 1430/1000000] Q loss: 0.0037630104600688717, score: 0, distance survived: 35
[Epoch 1440/1000000] Q loss: 0.0038541826336194115, score: 0, distance survived: 35
[Epoch 1450/1000000] Q loss: 0.003539567174601982, score: 0, distance survived: 67
[Epoch 1460/1000000] Q loss: 0.002288308088669824, score: 0, distance survived: 35
[Epoch 1470/1000000] Q loss: 0.0026194004282316836, score: 0, distance survived: 68
[Epoch 1480/1000000] Q loss: 0.0033198028530736254, score: 0, distance survived: 65
[Epoch 1490/1000000] Q loss: 0.0035746592245520007, score: 0, distance survived: 83
[Epoch 1500/1000000] Q loss: 0.0030157764129921413, score: 0, distance survived: 82
[Epoch 1510/1000000] Q loss: 0.005016119280001702, score: 0, distance survived: 82
[Epoch 1520/1000000] Q loss: 0.002986733159912497, score: 0, distance survived: 81
